Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 3659.33it/s]
{"event": "public_fallback_progress", "position": 0, "positions": 32}
{"event": "public_fallback_progress", "position": 1, "positions": 32}
{"event": "public_fallback_progress", "position": 2, "positions": 32}
{"event": "public_fallback_progress", "position": 3, "positions": 32}
{"event": "public_fallback_progress", "position": 4, "positions": 32}
{"event": "public_fallback_progress", "position": 5, "positions": 32}
{"event": "public_fallback_progress", "position": 6, "positions": 32}
{"event": "public_fallback_progress", "position": 7, "positions": 32}
{"event": "public_fallback_progress", "position": 8, "positions": 32}
{"event": "public_fallback_progress", "position": 9, "positions": 32}
{"event": "public_fallback_progress", "position": 10, "positions": 32}
{"event": "public_fallback_progress", "position": 11, "positions": 32}
{"event": "public_fallback_progress", "position": 12, "positions": 32}
{"event": "public_fallback_progress", "position": 13, "positions": 32}
{"event": "public_fallback_progress", "position": 14, "positions": 32}
{"event": "public_fallback_progress", "position": 15, "positions": 32}
{"event": "public_fallback_progress", "position": 16, "positions": 32}
{"event": "public_fallback_progress", "position": 17, "positions": 32}
{"event": "public_fallback_progress", "position": 18, "positions": 32}
{"event": "public_fallback_progress", "position": 19, "positions": 32}
{"event": "public_fallback_progress", "position": 20, "positions": 32}
{"event": "public_fallback_progress", "position": 21, "positions": 32}
{"event": "public_fallback_progress", "position": 22, "positions": 32}
{"event": "public_fallback_progress", "position": 23, "positions": 32}
{"event": "public_fallback_progress", "position": 24, "positions": 32}
{"event": "public_fallback_progress", "position": 25, "positions": 32}
{"event": "public_fallback_progress", "position": 26, "positions": 32}
{"event": "public_fallback_progress", "position": 27, "positions": 32}
{"event": "public_fallback_progress", "position": 28, "positions": 32}
{"event": "public_fallback_progress", "position": 29, "positions": 32}
{"event": "public_fallback_progress", "position": 30, "positions": 32}
{"event": "public_fallback_progress", "position": 31, "positions": 32}
{"codebook_entries": 500, "completed": 16, "event": "known_prompt_progress", "total": 16}
{"event": "budget_complete", "fallback_token_top1": 0.900390625, "hybrid_full_prompt_exact": 0.0625, "hybrid_token_top1": 0.9189453125, "known_prompt_queries": 16, "token_coverage": 0.08056640625}
{"codebook_entries": 1800, "completed": 64, "event": "known_prompt_progress", "total": 64}
{"event": "budget_complete", "fallback_token_top1": 0.900390625, "hybrid_full_prompt_exact": 0.2265625, "hybrid_token_top1": 0.9501953125, "known_prompt_queries": 64, "token_coverage": 0.21044921875}
{"codebook_entries": 3380, "completed": 128, "event": "known_prompt_progress", "total": 256}
{"codebook_entries": 4793, "completed": 192, "event": "known_prompt_progress", "total": 256}
{"codebook_entries": 6186, "completed": 256, "event": "known_prompt_progress", "total": 256}
{"event": "budget_complete", "fallback_token_top1": 0.900390625, "hybrid_full_prompt_exact": 0.4765625, "hybrid_token_top1": 0.9794921875, "known_prompt_queries": 256, "token_coverage": 0.346435546875}
{"codebook_entries": 7542, "completed": 320, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 8847, "completed": 384, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 10128, "completed": 448, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 11381, "completed": 512, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 12626, "completed": 576, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 13798, "completed": 640, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 14938, "completed": 704, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 16099, "completed": 768, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 17218, "completed": 832, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 18366, "completed": 896, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 19405, "completed": 960, "event": "known_prompt_progress", "total": 1024}
{"codebook_entries": 20507, "completed": 1024, "event": "known_prompt_progress", "total": 1024}
{"event": "budget_complete", "fallback_token_top1": 0.900390625, "hybrid_full_prompt_exact": 0.6015625, "hybrid_token_top1": 0.98486328125, "known_prompt_queries": 1024, "token_coverage": 0.475341796875}
{"codebook_entries": 21557, "completed": 1088, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 22596, "completed": 1152, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 23566, "completed": 1216, "event": "known_prompt_progress", "total": 4096}
{"codebook_entries": 24602, "completed": 1280, "event": "known_prompt_progress", "total": 4096}
